,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Round 1,,,Round 2,,,Round 3,,,Round 4,,,Round 5,,,Round 6,,,Total,,,,,,,,
,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,W/L,Pts,,Pts,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
,,,69,,,0,,,0,,,0,,,0,,,0,,69,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sam and Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Louisville,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
10,Vanderbilt,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
12,Liberty,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
,,,20,,,0,,,0,,,0,,,0,,,0,,20,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Danny Wolf ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
4,Arizona,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
8,Louisville,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Yale,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Illinois,W,6,,L,0,,L,0,,L,0,,L,0,,L,0,,6,,,,,,,,
7,Saint Mary's,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
,,,37,,,4,,,0,,,0,,,0,,,0,,41,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hammermesh,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Troy,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
13,Akron,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
5,Michigan,W,5,,W,5,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
10,New Mexico,W,10,,L,0,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Illinois,W,6,,L,0,,L,0,,L,0,,L,0,,L,0,,6,,,,,,,,
,,,47,,,11,,,0,,,0,,,0,,,0,,58,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faz/Bino I,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
4,Arizona,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
5,Michigan,W,5,,W,5,,L,0,,L,0,,L,0,,L,0,,10,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,BYU,W,6,,W,6,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
7,Marquette,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Drake ,W,11,,L,0,,L,0,,L,0,,L,0,,L,0,,11,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
,,,42,,,19,,,0,,,0,,,0,,,0,,61,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faz/Bino II,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
4,Texas A&M,W,4,,L,0,,L,0,,L,0,,L,0,,L,0,,4,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
6,Missouri,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,UCLA,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,Xavier,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
11,VCU,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,Colorado St,W,12,,L,0,,L,0,,L,0,,L,0,,L,0,,12,,,,,,,,
,,,35,,,4,,,0,,,0,,,0,,,0,,39,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Faz/Bino III,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Maryland,W,4,,W,4,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
5,Clemson,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
5,Oregon,W,5,,L,0,,L,0,,L,0,,L,0,,L,0,,5,,,,,,,,
5,Memphis,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
7,UCLA,W,7,,L,0,,L,0,,L,0,,L,0,,L,0,,7,,,,,,,,
7,Kansas ,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
8,Gonzaga,W,8,,L,0,,L,0,,L,0,,L,0,,L,0,,8,,,,,,,,
11,North Carolina,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
12,UC San Diego,L,0,,L,0,,L,0,,L,0,,L,0,,L,0,,0,,,,,,,,
